timestep,reward
3,-4.679
4871,-3.0715
13492,-0.8155
22600,0.4675
31498,-0.69
40478,3.487
49783,3.5795
58760,2.005
67691,1.8105
76978,6.9005
85823,5.334
94585,6.455
103307,2.9825
111553,5.4445
119983,6.9995
128144,5.742
136200,7.996
144569,4.1345
152557,6.6485
160482,2.711
168341,6.4595
175828,3.204
183068,3.946
190516,5.1755
197854,7.0465
205203,6.1535
212478,4.298
219765,5.037
227038,2.085
233915,5.243
240838,6.0305
247575,4.6075
254687,1.582
261279,5.1665
268144,4.769
275180,3.6185
282384,4.9345
289326,5.3145
296307,6.6645
303018,2.9575
309831,3.9915
316496,5.384
323261,3.6195
330017,5.1175
336702,5.5695
343381,7.0435
350225,3.089
356967,2.007
363550,3.504
370148,3.6785
