timestep,reward
3,0.1885
7414,2.7985
14849,-0.576
22212,2.636
29629,-0.4555
37008,0.421
44488,-1.133
51786,1.675
59226,-1.6945
66352,0.1305
73730,-0.826
80982,0.4055
88644,1.346
96237,1.918
104198,5.572
112326,1.819
120521,4.377
128944,3.09
137610,6.163
146370,-2.8195
153968,4.054
162226,0.809
170428,1.7285
178628,0.9415
187192,0.5475
195520,4.2055
204148,3.416
213113,1.588
222335,2.692
231962,3.5335
241069,6.175
250720,4.2405
260448,5.105
269543,7.2085
278888,0.997
288338,3.433
297706,5.7955
307443,3.5885
316905,3.5465
326315,4.705
336125,5.9035
345377,4.8345
354859,5.0405
363957,6.719
373599,4.606
383617,4.1815
393140,3.192
403801,4.513
413625,1.884
422861,5.819
